"Gene","Cerebrum","Cerebellum","Brainstem","Spinal cord","Kidney","Liver","Heart","Skeletal muscle","Adipose","Small intestine","Large intestine","Stomach","Placenta","Testis"
"Tmem143",19952623.1496888,25118864.3150958,15848931.9246111,63095734.4480193,50118723.3627272,19952623.1496888,199526231.496888,125892541.179417,251188643.150958,7924465.96230557,79432823.4724282,50118723.3627272,1e+08,7924465.96230557
"Mtpap",31622776.6016838,50118723.3627272,12559432.1575479,50118723.3627272,12559432.1575479,31622776.6016838,12559432.1575479,25118864.3150958,79432823.4724282,50118723.3627272,251188643.150958,25118864.3150958,501187233.627271,158489319.246111
"Cmpk2",7924465.96230557,7924465.96230557,7924465.96230557,63095734.4480193,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,15848931.9246111,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557
"Glyctk",15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,1995262314.96888,398107170.553497,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,31622776.6016838,15811388.3008419
"Rpusd4",12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,25118864.3150958,12559432.1575479
"Smim20",50118723.3627272,50118723.3627272,63095734.4480193,25118864.3150958,63095734.4480193,12589254.1179417,79432823.4724282,3971641.17362141,7943282.34724282,25118864.3150958,3971641.17362141,3971641.17362141,39810717.0553497,79432823.4724282
"Arg2",3154786.72240097,3154786.72240097,3154786.72240097,3154786.72240097,125892541.179417,3154786.72240097,3154786.72240097,3154786.72240097,6309573.44480193,39810717055.3497,630957344.480194,3154786.72240097,398107170.553497,3154786.72240097
"Ptrh2",398107170.553497,251188643.150958,501187233.627271,199526231.496888,630957344.480194,501187233.627271,125892541.179417,158489319.246111,398107170.553497,31622776.6016838,794328234.724282,316227766.016838,1e+09,1e+09
"Lyrm1",7924465.96230557,7924465.96230557,15848931.9246111,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,79432823.4724282
"Aars2",199526231.496888,158489319.246111,1e+08,5011872.33627272,125892541.179417,31622776.6016838,1990535.85276748,50118723.3627272,39810717.0553497,3981071.70553497,398107170.553497,50118723.3627272,19952623.1496888,251188643.150958
